plate_ID,plate_rep,temperature,plate_well,is_blank,area_mm2.measurement,imageJ_ID,fieldrep_ID,treatment_group,sample_id_group,exclude_from_analysis,exclude_reason
APC-EE1-26,EE1,26,B5,FALSE,33.258,5,A,EE,EEA5,1,DOA
APC-EE1-26,EE1,26,B6,TRUE,,,,EE,EE,,
APC-EE1-26,EE1,26,C1,TRUE,,,,EE,EE,,
APC-EE1-26,EE1,26,C2,FALSE,24.589,11,A,EE,EEA11,,
APC-EE1-26,EE1,26,C3,FALSE,16.431,9,A,EE,EEA9,,
APC-EE1-26,EE1,26,C4,FALSE,12.748,12,A,EE,EEA12,1,DOA
APC-EE1-26,EE1,26,C5,FALSE,11.558,13,B,EE,EEB13,,
APC-EE1-26,EE1,26,C6,TRUE,,,,EE,EE,,
APC-EE1-26,EE1,26,D1,TRUE,,,,EE,EE,,
APC-EE1-26,EE1,26,D2,FALSE,25.836,16,C,EE,EEC16,,
APC-EE1-26,EE1,26,D3,FALSE,26.402,18,C,EE,EEC18,1,DOA
APC-EE1-26,EE1,26,D4,FALSE,22.436,17,C,EE,EEC17,,
APC-EE1-26,EE1,26,D5,FALSE,30.255,19,C,EE,EEC19,,
APC-EE1-26,EE1,26,D6,TRUE,,,,EE,EE,,
APC-EE2-26,EE2,26,A1,TRUE,,,,EE,EE,,
APC-EE2-26,EE2,26,A2,FALSE,60.742,2,C,EE,EEC2,,
APC-EE2-26,EE2,26,A3,FALSE,50,1,C,EE,EEC1,,
APC-EE2-26,EE2,26,A4,FALSE,14.551,3,C,EE,EEC3,,
APC-EE2-26,EE2,26,A5,FALSE,22.656,4,C,EE,EEC4,,
APC-EE2-26,EE2,26,A6,TRUE,,,,EE,EE,,
APC-EE2-26,EE2,26,B1,TRUE,,,,EE,EE,,
APC-EE2-26,EE2,26,B2,FALSE,13.086,8,C,EE,EEC8,1,DOA
APC-EE2-26,EE2,26,B3,FALSE,49.805,7,C,EE,EEC7,1,DOA
APC-EE2-26,EE2,26,B4,FALSE,40.527,6,C,EE,EEC6,,
APC-EE2-26,EE2,26,B5,FALSE,89.648,5,C,EE,EEC5,1,DOA
APC-EE2-26,EE2,26,B6,TRUE,,,,EE,EE,,
APC-EE2-26,EE2,26,C1,TRUE,,,,EE,EE,,
APC-EE2-26,EE2,26,C2,FALSE,55.566,12,D,EE,EED12,,
APC-EE2-26,EE2,26,C3,FALSE,57.031,11,D,EE,EED11,1,DOA
APC-EE2-26,EE2,26,C4,FALSE,58.887,10,D,EE,EED10,1,DOA
APC-EE2-26,EE2,26,C5,FALSE,48.047,9,D,EE,EED9,,
APC-EE2-26,EE2,26,C6,TRUE,,,,EE,EE,,
APC-EE2-26,EE2,26,D1,TRUE,,,,EE,EE,,
APC-EE2-26,EE2,26,D2,FALSE,49.414,14,D,EE,EED14,1,DOA
APC-EE2-26,EE2,26,D3,FALSE,59.375,13,D,EE,EED13,,
APC-EE2-26,EE2,26,D4,FALSE,56.055,15,D,EE,EED15,,
APC-EE2-26,EE2,26,D5,FALSE,29.688,16,D,EE,EED16,,
APC-EE2-26,EE2,26,D6,TRUE,,,,EE,EE,,
APC-EP1-26,EP1,26,A1,TRUE,,,,EP,EP,,
APC-EP1-26,EP1,26,A2,FALSE,43.345,4,A,EP,EPA4,,
APC-EP1-26,EP1,26,A3,FALSE,59.153,1,A,EP,EPA1,,
APC-EP1-26,EP1,26,A4,FALSE,63.825,2,A,EP,EPA2,1,DOA
APC-EP1-26,EP1,26,A5,FALSE,29.454,3,A,EP,EPA3,,
APC-EP1-26,EP1,26,A6,TRUE,,,,EP,EP,,
APC-EP1-26,EP1,26,B1,TRUE,,,,EP,EP,,
APC-EP1-26,EP1,26,B2,FALSE,29.24,8,A,EP,EPA8,,
APC-EP1-26,EP1,26,B3,FALSE,54.227,6,A,EP,EPA6,,
APC-EP1-26,EP1,26,B4,FALSE,54.952,7,A,EP,EPA7,,
APC-EP1-26,EP1,26,B5,FALSE,29.689,5,A,EP,EPA5,,
APC-EP1-26,EP1,26,B6,TRUE,,,,EP,EP,,
APC-EP1-26,EP1,26,C1,TRUE,,,,EP,EP,,
APC-EP1-26,EP1,26,C2,FALSE,77.705,12,B,EP,EPB12,1,DOA
APC-EP1-26,EP1,26,C3,FALSE,21.254,11,B,EP,EPB11,,
APC-EP1-26,EP1,26,C4,FALSE,23.661,10,B,EP,EPB10,,
