1 = alive (sealed or responds to touch); 0 = dead (gaped and unresponsive),,,,,,,,*** no CC2 plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/15",,,,,
C,blank,0,0,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,0,1,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,1,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36HR,"Time Check Started (all plates): 5:00a, 8/17",,,,,,,36HR,"Time Check Started (all plates): 5:00a, 8/17",,,,,,,36HR,"Time Check Started (all plates): 5:00a, 8/17",,,,,,,36HR,"Time Check Started (all plates): 5:00a, 8/17",,,,,,,36HR,"Time Check Started (all plates): 5:00a, 8/17",,,,,,,36HR,"Time Check Started (all plates): 5:00a, 8/17",,,,,,,36HR,"Time Check Started (all plates): 5:00a, 8/17",,,,,,,36HR,"Time Check Started (all plates): 5:00a, 8/17",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,1,0,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,0,blank,blank,,A,blank,1,1,1,0,blank,,A,blank,1,0,1,0,blank
B,blank,0,1,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,1,0,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,0,1,1,blank,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,1,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,1,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,1,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39HR,"Time Check Started (all plates): 8:00a, 8/17",,,,,,,39HR,"Time Check Started (all plates): 8:00a, 8/17",,,,,,,39HR,"Time Check Started (all plates): 8:00a, 8/17",,,,,,,39HR,"Time Check Started (all plates): 8:00a, 8/17",,,,,,,39HR,"Time Check Started (all plates): 8:00a, 8/17",,,,,,,39HR,"Time Check Started (all plates): 8:00a, 8/17",,,,,,,39HR,"Time Check Started (all plates): 8:00a, 8/17",,,,,,,39HR,"Time Check Started (all plates): 8:00a, 8/17",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,1,0,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,0,blank,blank,,A,blank,1,1,1,0,blank,,A,blank,1,0,1,0,blank
B,blank,0,1,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,0,blank,blank,,B,blank,0,1,0,0,blank,,B,blank,0,1,1,0,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,0,1,1,blank,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,1,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,1,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,0,0,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,1,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42HR,"Time Check Started (all plates): 11:00a, 8/17",,,,,,,42HR,"Time Check Started (all plates): 11:00a, 8/17",,,,,,,42HR,"Time Check Started (all plates): 11:00a, 8/17",,,,,,,42HR,"Time Check Started (all plates): 11:00a, 8/17",,,,,,,42HR,"Time Check Started (all plates): 11:00a, 8/17",,,,,,,42HR,"Time Check Started (all plates): 11:00a, 8/17",,,,,,,42HR,"Time Check Started (all plates): 11:00a, 8/17",,,,,,,42HR,"Time Check Started (all plates): 11:00a, 8/17",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,1,0,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,0,blank,blank,,A,blank,1,1,1,0,blank,,A,blank,1,0,1,0,blank
B,blank,0,1,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,0,blank,blank,,B,blank,0,1,0,0,blank,,B,blank,0,1,1,0,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,0,1,1,blank,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,0,1,1,1,blank,,C,blank,0,0,0,1,blank,,C,blank,0,0,0,0,blank
D,blank,1,0,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,0,1,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,0,1,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* I think 2B is alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45HR,"Time Check Started (all plates): 2:00p, 8/17",,,,,,,45HR,"Time Check Started (all plates): 2:00p, 8/17",,,,,,,45HR,"Time Check Started (all plates): 2:00p, 8/17",,,,,,,45HR,"Time Check Started (all plates): 2:00p, 8/17",,,,,,,45HR,"Time Check Started (all plates): 2:00p, 8/17",,,,,,,45HR,"Time Check Started (all plates): 2:00p, 8/17",,,,,,,45HR,"Time Check Started (all plates): 2:00p, 8/17",,,,,,,45HR,"Time Check Started (all plates): 2:00p, 8/17",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,0,0,0,0,blank,,A,blank,0,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,0,blank,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,1,1,blank
B,blank,0,1,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,0,blank,blank,,B,blank,0,1,0,0,blank,,B,blank,1,1,1,1,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,1,1,1,blank,blank,,B,blank,1,1,1,0,blank
C,blank,0,1,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,1,1,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,0,blank,blank,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,0,0,1,blank
D,blank,1,1,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,0,1,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,0,0,blank
,,,,,0.8461538462,,,,,,,,,,,,,,,,,,,,,,,,0.8947368421,,,,,,,,,,,,,,,,90.47619048,,,,,,,,92.59259259,,,,,,,,,
48HR,"Time Check Started (all plates): 5:00p, 8/17",,,,,,,48HR,"Time Check Started (all plates): 5:00p, 8/17",,,,,,,48HR,"Time Check Started (all plates): 5:00p, 8/17",,,,,,,48HR,"Time Check Started (all plates): 5:00p, 8/17",,,,,,,48HR,"Time Check Started (all plates): 5:00p, 8/17",,,,,,,48HR,"Time Check Started (all plates): 5:00p, 8/17",,,,,,,48HR,"Time Check Started (all plates): 5:00p, 8/17",,,,,,,48HR,"Time Check Started (all plates): 5:00p, 8/17",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,blank,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,0,1,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,0,blank,blank,,B,blank,0,1,0,0,blank,,B,blank,1,1,1,1,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,1,1,1,blank,blank,,B,blank,1,1,1,1,blank
C,blank,1,1,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,0,1,1,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,0,1,blank,blank,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,blank,0,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62HR,"Time Check Started (all plates): 7:00a, 8/18",,,,,,,62HR,"Time Check Started (all plates): 7:00a, 8/18",,,,,,,62HR,"Time Check Started (all plates): 7:00a, 8/18",,,,,,,62HR,"Time Check Started (all plates): 7:00a, 8/18",,,,,,,62HR,"Time Check Started (all plates): 7:00a, 8/18",,,,,,,62HR,"Time Check Started (all plates): 7:00a, 8/18",,,,,,,62HR,"Time Check Started (all plates): 7:00a, 8/18",,,,,,,62HR,"Time Check Started (all plates): 7:00a, 8/18",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,blank,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,0,1,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,1,blank,blank,,B,blank,0,1,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,1,1,1,blank,blank,,B,blank,1,1,1,1,blank
C,blank,1,1,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,1,1,1,1,blank,,C,blank,0,blank,blank,blank,blank,,C,blank,1,1,blank,blank,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,blank,1,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,1,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67HR,"Time Check Started (all plates): 12:00p, 8/18",,,,,,,67HR,"Time Check Started (all plates): 12:00p, 8/18",,,,,,,67HR,"Time Check Started (all plates): 12:00p, 8/18",,,,,,,67HR,"Time Check Started (all plates): 12:00p, 8/18",,,,,,,67HR,"Time Check Started (all plates): 12:00p, 8/18",,,,,,,67HR,"Time Check Started (all plates): 12:00p, 8/18",,,,,,,67HR,"Time Check Started (all plates): 12:00p, 8/18",,,,,,,67HR,"Time Check Started (all plates): 12:00p, 8/18",,,,,
AP-CC1-35,1,2,3,4,5,6,,AP-CC2-35,1,2,3,4,5,6,,AP-EE1-35,1,2,3,4,5,6,,AP-EE2-35,1,2,3,4,5,6,,AP-CP1-35,1,2,3,4,5,6,,AP-CP2-35,1,2,3,4,5,6,,AP-EP1-35,1,2,3,4,5,6,,AP-EP2-35,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,0,0,0,0,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,blank,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,1,blank,blank,blank,,B,blank,0,0,0,0,blank,,B,blank,1,1,1,blank,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,blank,blank,blank,blank,blank,,B,blank,1,1,1,blank,blank,,B,blank,1,1,1,1,blank
C,blank,1,1,1,1,blank,,C,blank,0,0,0,0,blank,,C,blank,1,1,1,1,blank,,C,blank,1,blank,blank,blank,blank,,C,blank,1,1,blank,blank,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,blank,1,blank,,D,blank,0,0,0,0,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,blank,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,1,blank,,D,blank,blank,blank,blank,blank,blank,,D,blank,1,1,1,1,blank
